calculator_id,ru_url,en_url,uk_url,parity_status,reason,hreflang_allowed,switcher_behavior
body-fat-calculator,/ru/sport/body-fat-calculator/,/en/fitness/body-fat-calculator/,/uk/fitness/kalkulyator-vidsotka-zhyru/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
running-pace-calculator,/ru/sport/running-pace-calculator/,/en/fitness/running-pace-calculator/,/uk/fitness/kalkulyator-tempu-bigu/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
one-rep-max-calculator,/ru/sport/one-rep-max-calculator/,/en/fitness/one-rep-max-calculator/,/uk/fitness/kalkulyator-1rm/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
tile-calculator,/ru/building/tile-calculator/,/en/home-improvement/tile-calculator/,/uk/remont/kalkulyator-plytky/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
wallpaper-calculator,/ru/building/wallpaper-calculator/,/en/home-improvement/wallpaper-calculator/,/uk/remont/kalkulyator-shpaler/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
paint-calculator,/ru/building/paint-calculator/,/en/home-improvement/paint-calculator/,/uk/remont/kalkulyator-farby/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
laminate-calculator,/ru/building/laminate-calculator/,/en/home-improvement/laminate-calculator/,/uk/remont/kalkulyator-laminatu/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
screed-calculator,/ru/building/screed-calculator/,/en/home-improvement/screed-calculator/,/uk/remont/kalkulyator-styazhky/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
brick-calculator,/ru/building/brick-calculator/,/en/home-improvement/brick-calculator/,/uk/remont/kalkulyator-tsehly/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
age-calculator,/ru/date-time/age-calculator/,/en/date-time/age-calculator/,/uk/daty/kalkulyator-viku/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
working-days-calculator,/ru/date-time/working-days-calculator/,/en/date-time/business-days-calculator/,/uk/daty/kalkulyator-robochyh-dniv/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
date-shift-calculator,/ru/date-time/date-calculator/,/en/date-time/date-calculator/,/uk/daty/kalkulyator-dat/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
activity-calories,/ru/sport/activity-calories/,/en/fitness/exercise-calorie-calculator/,/uk/fitness/kalorii-pry-aktyvnosti/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
ad-roi,/ru/business/ad-roi/,/en/business/advertising-roi/,/uk/business/roi-reklamy/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
annuity,/ru/finance/annuity/,/en/finance/annuity-calculator/,/uk/finansy/anuitet/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
aov,/ru/business/aov/,/en/business/average-order-value/,/uk/business/serednii-chek/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
arithmetic-progression,/ru/math/arithmetic-progression/,/en/math/arithmetic-progression-calculator/,/uk/math/aryfmetychna-progresiya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
arpu-arppu,/ru/business/arpu-arppu/,/en/business/arpu-arppu-calculator/,/uk/business/arpu-arppu/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
aspect-ratio,/ru/computers/aspect-ratio/,/en/computers/aspect-ratio-calculator/,/uk/kompyutery/spivvidnoshennya-storin/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
bakers-percentage,/ru/household/bakers-percentage/,/en/household/bakers-percentage-calculator/,/uk/pobut/pekarski-vidsotky/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
battery-charge-time,/ru/electronics/battery-charge-time/,/en/electronics/battery-charge-time-calculator/,/uk/elektronika/chas-zaryadzhannya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
battery-runtime,/ru/electronics/battery-runtime/,/en/electronics/battery-runtime-calculator/,/uk/elektronika/chas-roboty-akumulyatora/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
bike-gear-ratio,/ru/sport/bike-gear-ratio/,/en/fitness/bike-gear-ratio-calculator/,/uk/fitness/velosypedna-peredacha/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
binomial-probability,/ru/math/binomial-probability/,/en/math/binomial-probability-calculator/,/uk/math/binomialna-ymovirnist/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
board-volume,/ru/building/board-volume/,/en/home-improvement/board-volume-calculator/,/uk/remont/kubatura-doshok/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
budget-50-30-20,/ru/finance/budget-50-30-20/,/en/finance/budget-50-30-20-calculator/,/uk/finansy/kalkulyator-byudzhetu-50-30-20/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
cac,/ru/business/cac/,/en/business/customer-acquisition-cost/,/uk/business/vartist-zaluchennya-kliyenta/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
cagr,/ru/finance/cagr/,/en/finance/cagr-calculator/,/uk/finansy/cagr-kalkulyator/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
calories-from-macros,/ru/sport/calories-from-macros/,/en/fitness/calories-from-macros-calculator/,/uk/fitness/kalkulyator-kaloriy-z-bzhv/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
churn-retention,/ru/business/churn-retention/,/en/business/churn-retention-calculator/,/uk/business/vidtik-utrymannya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
color-convert,/ru/computers/color-convert/,/en/computers/hex-rgb-hsl-converter/,/uk/kompyutery/konverter-koloriv/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
combinatorics,/ru/math/combinatorics/,/en/math/combinations-permutations-calculator/,/uk/math/spoluchennya-rozmishchennya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
commission,/ru/finance/commission/,/en/finance/commission-calculator/,/uk/finansy/kalkulyator-komisiyi/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
concrete,/ru/building/concrete/,/en/home-improvement/concrete-calculator/,/uk/remont/beton/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
confidence-interval,/ru/math/confidence-interval/,/en/math/confidence-interval-calculator/,/uk/math/dovirchyy-interval/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
contribution-margin,/ru/business/contribution-margin/,/en/business/contribution-margin/,/uk/business/marzhynalnyi-dokhid/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
conversion-rate,/ru/business/conversion-rate/,/en/business/conversion-rate-calculator/,/uk/business/konversiya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-angle,/ru/converters/convert-angle/,/en/converters/angle-converter/,/uk/konvertery/konverter-kutiv/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-area,/ru/converters/convert-area/,/en/converters/area-converter/,/uk/konvertery/konverter-ploshchi/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-cooking-volume,/ru/converters/convert-cooking-volume/,/en/converters/cooking-volume-converter/,/uk/konvertery/konverter-kulinarnykh-mir/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-data-rate,/ru/converters/convert-data-rate/,/en/converters/data-rate-converter/,/uk/konvertery/konverter-shvydkosti-peredachi/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-density,/ru/converters/convert-density/,/en/converters/density-converter/,/uk/konvertery/konverter-hustyny/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-digital,/ru/converters/convert-digital/,/en/converters/digital-storage-converter/,/uk/konvertery/konverter-obsyagu-danykh/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-energy,/ru/converters/convert-energy/,/en/converters/energy-converter/,/uk/konvertery/konverter-enerhii/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-flow,/ru/converters/convert-flow/,/en/converters/flow-rate-converter/,/uk/konvertery/konverter-vytraty/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-force,/ru/converters/convert-force/,/en/converters/force-converter/,/uk/konvertery/konverter-syly/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-frequency,/ru/converters/convert-frequency/,/en/converters/frequency-converter/,/uk/konvertery/konverter-chastoty/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-fuel-economy,/ru/converters/convert-fuel-economy/,/en/converters/fuel-economy-converter/,/uk/konvertery/konverter-vytraty-palyva/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-illuminance,/ru/converters/convert-illuminance/,/en/converters/illuminance-converter/,/uk/konvertery/konverter-osvitlenosti/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-length,/ru/converters/convert-length/,/en/converters/length-converter/,/uk/konvertery/konverter-dovzhyny/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-mass,/ru/converters/convert-mass/,/en/converters/mass-converter/,/uk/konvertery/konverter-masy/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-power,/ru/converters/convert-power/,/en/converters/power-converter/,/uk/konvertery/konverter-potuzhnosti/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-pressure,/ru/converters/convert-pressure/,/en/converters/pressure-converter/,/uk/konvertery/konverter-tysku/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-speed,/ru/converters/convert-speed/,/en/converters/speed-converter/,/uk/konvertery/konverter-shvydkosti/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-temperature,/ru/converters/convert-temperature/,/en/converters/temperature-converter/,/uk/konvertery/konverter-temperatury/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-time,/ru/converters/convert-time/,/en/converters/time-converter/,/uk/konvertery/konverter-chasu/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-torque,/ru/converters/convert-torque/,/en/converters/torque-converter/,/uk/konvertery/konverter-krutnoho-momentu/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
convert-volume,/ru/converters/convert-volume/,/en/converters/volume-converter/,/uk/konvertery/konverter-obyemu/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
cooked-weight,/ru/household/cooked-weight/,/en/household/raw-to-cooked-weight-calculator/,/uk/pobut/suha-ta-hotova-vaha/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
correlation,/ru/math/correlation/,/en/math/correlation-coefficient-calculator/,/uk/math/korelyatsiya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
cpm,/ru/business/cpm/,/en/business/cpm-calculator/,/uk/business/cpm/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
crypto-pnl,/ru/finance/crypto-pnl/,/en/finance/crypto-profit-calculator/,/uk/finansy/prybutok-kryptovalyuty/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
ctr,/ru/business/ctr/,/en/business/ctr-calculator/,/uk/business/ctr/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
currency-exchange-fee,/ru/currency/currency-exchange-fee/,/en/currency/currency-exchange-cost-calculator/,/uk/valyuty/vartist-obminu-valyuty/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
day-of-week,/ru/date-time/day-of-week/,/en/date-time/day-of-week/,/uk/daty/den-tyzhnya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
dca,/ru/finance/dca/,/en/finance/dollar-cost-averaging-calculator/,/uk/finansy/userednennya-tsiny-dca/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
density,/ru/physics/density/,/en/physics/density-calculator/,/uk/fizyka/hustyna/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
difference-abs-rel,/ru/math/difference-abs-rel/,/en/math/absolute-relative-difference/,/uk/math/abs-rel-riznytsya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
dilution,/ru/chemistry/dilution/,/en/chemistry/dilution-calculator/,/uk/himiya/rozvedennia/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
dividend-yield,/ru/finance/dividend-yield/,/en/finance/dividend-yield/,/uk/finansy/dyvidendna-dokhidnist/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
divisors,/ru/math/divisors/,/en/math/divisors-calculator/,/uk/math/dilnyky-chysla/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
down-payment,/ru/finance/down-payment/,/en/finance/down-payment-calculator/,/uk/finansy/pershyy-vnesok/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
download-time,/ru/computers/download-time/,/en/computers/download-time-calculator/,/uk/kompyutery/chas-zavantazhennya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
dti,/ru/finance/dti/,/en/finance/debt-to-income/,/uk/finansy/kredytne-navantazhennya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
electricity-usage,/ru/household/electricity-usage/,/en/household/electricity-usage-calculator/,/uk/pobut/vytrata-elektroenergiyi/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
engagement-rate,/ru/business/engagement-rate/,/en/business/engagement-rate-calculator/,/uk/business/zaluchenist/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
factorial,/ru/math/factorial/,/en/math/factorial-calculator/,/uk/math/faktorial/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
fee-chain,/ru/business/fee-chain/,/en/business/marketplace-fee-calculator/,/uk/business/komisiya-marketpleysu/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
fibonacci,/ru/math/fibonacci/,/en/math/fibonacci-calculator/,/uk/math/chysla-fibonachchi/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
files-on-disk,/ru/computers/files-on-disk/,/en/computers/files-on-disk-calculator/,/uk/kompyutery/fayly-na-nosiyi/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
final-grade,/ru/education/final-grade/,/en/education/final-grade-calculator/,/uk/navchannya/potribna-otsinka/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
fps-frametime,/ru/computers/fps-frametime/,/en/computers/fps-frame-time-calculator/,/uk/kompyutery/fps-chas-kadru/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
fraction-arith,/ru/math/fractions/,/en/math/fraction-calculator/,/uk/math/drobi/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
freelance-rate,/ru/finance/freelance-rate/,/en/finance/freelance-rate-calculator/,/uk/finansy/stavka-frilansera/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
fuel-consumption,/ru/automotive/fuel-consumption/,/en/automotive/fuel-consumption-calculator/,/uk/avtomobili/vytrata-palyva/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
gcd-lcm,/ru/math/gcd-lcm/,/en/math/gcd-and-lcm-calculator/,/uk/math/nsd-nsk/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
generator-fuel,/ru/household/generator-fuel/,/en/household/generator-fuel-calculator/,/uk/pobut/vytrata-palnoho-heneratora/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
geom-annulus,/ru/geometry/geom-annulus/,/en/geometry/annulus-calculator/,/uk/heometriya/kiltse/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
geom-circle,/ru/geometry/circle/,/en/geometry/circle-calculator/,/uk/heometriya/kolo/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
geom-cone,/ru/geometry/cone/,/en/geometry/cone-calculator/,/uk/heometriya/konus/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
geom-cube,/ru/geometry/geom-cube/,/en/geometry/cube-calculator/,/uk/heometriya/kub/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
geom-cuboid,/ru/geometry/cuboid/,/en/geometry/cuboid-calculator/,/uk/heometriya/paralelepiped/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
geom-cylinder,/ru/geometry/cylinder/,/en/geometry/cylinder-calculator/,/uk/heometriya/tsylindr/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
geom-ellipse,/ru/geometry/geom-ellipse/,/en/geometry/ellipse-calculator/,/uk/heometriya/elips/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
geom-frustum,/ru/geometry/geom-frustum/,/en/geometry/conical-frustum-calculator/,/uk/heometriya/zrizanyy-konus/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
geom-parallelogram,/ru/geometry/parallelogram/,/en/geometry/parallelogram-calculator/,/uk/heometriya/paralelohram/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
geom-rectangle,/ru/geometry/rectangle/,/en/geometry/rectangle-calculator/,/uk/heometriya/pryamokutnyk/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
geom-regular-polygon,/ru/geometry/regular-polygon/,/en/geometry/regular-polygon-calculator/,/uk/heometriya/pravylnyy-mnohokutnyk/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
geom-rhombus,/ru/geometry/geom-rhombus/,/en/geometry/rhombus-calculator/,/uk/heometriya/romb/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
geom-right-triangle,/ru/geometry/right-triangle/,/en/geometry/right-triangle-calculator/,/uk/heometriya/pryamokutnyy-trykutnyk/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
geom-sector,/ru/geometry/sector/,/en/geometry/sector-calculator/,/uk/heometriya/sektor-kola/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
geom-sphere,/ru/geometry/sphere/,/en/geometry/sphere-calculator/,/uk/heometriya/kulya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
geom-square,/ru/geometry/square/,/en/geometry/square-calculator/,/uk/heometriya/kvadrat/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
geom-trapezoid,/ru/geometry/trapezoid/,/en/geometry/trapezoid-calculator/,/uk/heometriya/trapetsiya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
geom-triangle,/ru/geometry/triangle/,/en/geometry/triangle-calculator/,/uk/heometriya/trykutnyk/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
golden-ratio,/ru/geometry/golden-ratio/,/en/geometry/golden-ratio-calculator/,/uk/heometriya/zolotyi-pereriz/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
gpa,/ru/education/gpa/,/en/education/gpa-calculator/,/uk/navchannya/seredniy-bal/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
heating-power,/ru/household/heating-power/,/en/household/heating-power-calculator/,/uk/pobut/potuzhnist-opalennya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
hydrostatic-pressure,/ru/physics/hydrostatic-pressure/,/en/physics/hydrostatic-pressure-calculator/,/uk/fizyka/hidrostatychnyi-tysk/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
ideal-gas-law,/ru/chemistry/ideal-gas-law/,/en/chemistry/ideal-gas-law-calculator/,/uk/himiya/rivniannia-stanu-hazu/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
inflation,/ru/finance/inflation/,/en/finance/inflation-calculator/,/uk/finansy/inflyatsiya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
installment,/ru/finance/installment/,/en/finance/installment-calculator/,/uk/finansy/rozstrochka/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
insulation,/ru/building/insulation/,/en/home-improvement/insulation-calculator/,/uk/remont/utepliuvach/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
internet-traffic,/ru/computers/internet-traffic/,/en/computers/internet-data-usage-calculator/,/uk/kompyutery/internet-trafik/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
inventory-turnover,/ru/business/inventory-turnover/,/en/business/inventory-turnover-calculator/,/uk/business/oborotnist-zapasiv/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
inverter-power,/ru/electronics/inverter-power/,/en/electronics/inverter-power-calculator/,/uk/elektronika/potuzhnist-invertora/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
ipv4-subnet,/ru/computers/ipv4-subnet/,/en/computers/ipv4-subnet-calculator/,/uk/kompyutery/pidmerezha-ipv4/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
kinetic-energy,/ru/physics/kinetic-energy/,/en/physics/kinetic-energy-calculator/,/uk/fizyka/kinetychna-enerhiya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
leap-year,/ru/date-time/leap-year/,/en/date-time/leap-year/,/uk/daty/vysokosnyi-rik/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
led-resistor,/ru/electronics/led-resistor/,/en/electronics/led-resistor-calculator/,/uk/elektronika/rezystor-dlya-svitlodioda/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
linear-equation,/ru/math/linear-equation/,/en/math/linear-equation-calculator/,/uk/math/liniyne-rivnyannya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
logarithm,/ru/math/logarithm/,/en/math/logarithm-calculator/,/uk/math/kalkulyator-logaryfma/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
